repeat,seed,variable,max_rhat,min_bulk_ess
0,637100,x,1.103502502539986,24.20677577687957
0,637100,bc,1.7327162002737326,6.100582013694686
0,637100,sigma,1.730108370432339,6.105299292602415
1,637101,x,1.0042937353328003,1367.3064406368044
1,637101,bc,1.0039690822527907,2539.1831533550594
1,637101,sigma,1.0057662298207146,4816.54642550802
2,637102,x,1.735512704728048,6.107943729176077
2,637102,bc,2.173584682272343,5.137228869104293
2,637102,sigma,1.7326052676621004,6.129747773001848
3,637103,x,1.004920965798483,1630.8403083096223
3,637103,bc,1.0063045428094017,3223.278552466181
3,637103,sigma,1.0054496731108413,5177.564204815943
4,637104,x,1.1621356646390133,16.766924414687193
4,637104,bc,1.5286446690971625,7.185524266580627
4,637104,sigma,1.524270916423512,7.162412072153927
5,637105,x,1.5108248087652552,7.285977070261834
5,637105,bc,1.5293415858093238,7.151880816281675
5,637105,sigma,1.526059196936056,7.142506380634308
6,637106,x,1.487593568505675,7.518391994800045
6,637106,bc,2.0746275010394286,5.298382057254479
6,637106,sigma,1.5271415403567503,7.138759490711089
7,637107,x,1.178228782428962,15.39016012216294
7,637107,bc,1.5290246673845695,7.189600793160097
7,637107,sigma,1.5261601713472723,7.162352196323812
8,637108,x,1.5821510482696408,6.804651425879956
8,637108,bc,1.7335306657237133,6.093835691004104
8,637108,sigma,1.7335627541507206,6.107483426473307
9,637109,x,1.412624718920552,8.485927990510367
9,637109,bc,1.528691050654446,7.1524053165440105
9,637109,sigma,1.5160031427868497,7.23891336004521
