revision,variable,max_rhat,min_ess_bulk,min_ess_tail
456afa3,x,1.6681261082522665,6.266084087366074,76.45952177375912
456afa3,bc,2.0954590227420877,5.192736255580462,23.917324635145555
456afa3,sigma,1.5261905489377914,7.040877319756113,24.318451746537317
v0.6-pr642,x,1.5043536894490397,7.200514294265746,24.99273925738733
v0.6-pr642,bc,1.5277950822795356,7.027468376002276,23.911067856483356
v0.6-pr642,sigma,1.5256695281639223,7.049164723849442,24.21181833642509
90a71c4,x,1.4965969320953831,7.258618513068889,24.03907752663497
90a71c4,bc,2.4020221510029423,4.845603215278461,24.055547724417757
90a71c4,sigma,1.730519173545866,6.02305501637348,24.450466239204516
v0.6-pr642-postfix,x,1.6447592479794693,6.376257382442676,77.44034310281982
v0.6-pr642-postfix,bc,1.7327041010900106,6.018391258326002,76.6155102900334
v0.6-pr642-postfix,sigma,1.7300701180973053,6.025224074091498,79.44546087161778
