iteration,temperature,accepted,new_best_utility,regions,effective_regions,dfs,best_accepted_dfs,penalty,current_utility,best_utility,candidate_utility,move_type,merge_parent_id,split_node_id
0,0.010928348848928307,True,False,24,24,0.47703482226794064,0.47818319250819363,0.0,0.47703482226794064,0.47818319250819363,0.47703482226794064,paired,2824,2812
2,0.010928348848928307,True,False,25,25,0.4770644793699946,0.47818319250819363,0.0,0.4770644793699946,0.47818319250819363,0.4770644793699946,split,,1777
3,0.010928348848928307,True,False,25,25,0.4764101063679102,0.47818319250819363,0.0,0.4764101063679102,0.47818319250819363,0.4764101063679102,paired,2812,2847
4,0.010928348848928307,False,False,25,25,0.4764101063679102,0.47818319250819363,0.0,0.4764101063679102,0.47818319250819363,0.39319059889376334,paired,2841,2828
5,0.010928348848928307,True,True,26,26,0.4782141653832112,0.4782141653832112,0.0,0.4782141653832112,0.4782141653832112,0.4782141653832112,split,,2824
7,0.010928348848928307,True,True,26,26,0.47918023067959736,0.47918023067959736,0.0,0.47918023067959736,0.47918023067959736,0.47918023067959736,paired,1777,2831
9,0.010928348848928307,True,True,27,27,0.47918023188790515,0.47918023188790515,0.0,0.47918023188790515,0.47918023188790515,0.47918023188790515,split,,2837
10,0.010928348848928307,True,True,28,28,0.4791816735822501,0.4791816735822501,0.0,0.4791816735822501,0.4791816735822501,0.4791816735822501,split,,2848
11,0.010928348848928307,True,False,27,27,0.4773776145669491,0.4791816735822501,0.0,0.4773776145669491,0.4791816735822501,0.4773776145669491,merge,2824,
12,0.010928348848928307,True,False,27,27,0.47728194245841765,0.4791816735822501,0.0,0.47728194245841765,0.4791816735822501,0.47728194245841765,paired,2844,2828
13,0.010928348848928307,True,False,27,27,0.467998020054468,0.4791816735822501,0.0,0.467998020054468,0.4791816735822501,0.467998020054468,paired,2873,2824
14,0.010928348848928307,False,False,27,27,0.467998020054468,0.4791816735822501,0.0,0.467998020054468,0.4791816735822501,0.4605284653528009,paired,2866,2876
