iteration,temperature,accepted,new_best_utility,regions,dfs,best_dfs_seen,penalty,current_utility,best_utility,candidate_utility,move_type,merge_parent_id,split_node_id
0,0.09581148656599305,True,False,24,5.706160548499767,5.8787660714385055,0.0,5.706160548499767,5.8787660714385055,5.706160548499767,paired,2870,3132
1,0.09581148656599305,True,False,23,5.684970920493846,5.8787660714385055,0.0,5.684970920493846,5.8787660714385055,5.684970920493846,merge,2824,
2,0.09581148656599305,True,False,22,5.650683138854408,5.8787660714385055,0.0,5.650683138854408,5.8787660714385055,5.650683138854408,merge,2866,
4,0.09581148656599305,False,False,22,5.650683138854408,5.8787660714385055,0.0,5.650683138854408,5.8787660714385055,5.630372185908673,paired,2827,2679
5,0.09581148656599305,True,False,23,5.684970920493846,5.8787660714385055,0.0,5.684970920493846,5.8787660714385055,5.684970920493846,split,,2866
6,0.09581148656599305,True,False,23,5.6979106642321575,5.8787660714385055,0.0,5.6979106642321575,5.8787660714385055,5.6979106642321575,paired,2873,2831
7,0.09581148656599305,True,False,24,5.697910666389092,5.8787660714385055,0.0,5.697910666389092,5.8787660714385055,5.697910666389092,split,,2837
9,0.09581148656599305,True,False,25,5.697966634876654,5.8787660714385055,0.0,5.697966634876654,5.8787660714385055,5.697966634876654,split,,2788
10,0.09581148656599305,True,False,26,5.687845068373807,5.8787660714385055,0.0,5.687845068373807,5.8787660714385055,5.687845068373807,split,,1
11,0.09581148656599305,True,False,25,5.687790643062275,5.8787660714385055,0.0,5.687790643062275,5.8787660714385055,5.687790643062275,merge,2788,
12,0.09581148656599305,True,False,26,5.687670269303634,5.8787660714385055,0.0,5.687670269303634,5.8787660714385055,5.687670269303634,split,,865
14,0.09581148656599305,True,False,25,5.688046593964042,5.8787660714385055,0.0,5.688046593964042,5.8787660714385055,5.688046593964042,merge,3132,
15,0.09581148656599305,True,False,24,5.675208900659317,5.8787660714385055,0.0,5.675208900659317,5.8787660714385055,5.675208900659317,merge,2831,
16,0.09581148656599305,True,False,24,5.640644825882717,5.8787660714385055,0.0,5.640644825882717,5.8787660714385055,5.640644825882717,paired,2866,3132
17,0.09581148656599305,True,False,24,5.640764430864252,5.8787660714385055,0.0,5.640764430864252,5.8787660714385055,5.640764430864252,paired,865,2893
19,0.09581148656599305,True,False,25,5.653598611005243,5.8787660714385055,0.0,5.653598611005243,5.8787660714385055,5.653598611005243,split,,2831
20,0.09581148656599305,True,False,26,5.653598609872596,5.8787660714385055,0.0,5.653598609872596,5.8787660714385055,5.653598609872596,split,,2894
21,0.09581148656599305,True,False,27,5.65300505197154,5.8787660714385055,0.0,5.65300505197154,5.8787660714385055,5.65300505197154,split,,2847
22,0.09581148656599305,True,False,27,5.863843282216347,5.8787660714385055,0.0,5.863843282216347,5.8787660714385055,5.863843282216347,paired,2844,2870
23,0.09581148656599305,True,False,28,5.863843282216312,5.8787660714385055,0.0,5.863843282216312,5.8787660714385055,5.863843282216312,split,,2954
24,0.09581148656599305,True,False,28,5.8642724318950314,5.8787660714385055,0.0,5.8642724318950314,5.8787660714385055,5.8642724318950314,paired,3132,2788
25,0.09581148656599305,True,False,29,5.863593798499291,5.8787660714385055,0.0,5.863593798499291,5.8787660714385055,5.863593798499291,split,,2812
26,0.09581148656599305,True,False,30,5.863593798499284,5.8787660714385055,0.0,5.863593798499284,5.8787660714385055,5.863593798499284,split,,2984
27,0.09581148656599305,True,True,31,5.8968695573817485,5.8968695573817485,0.0,5.8968695573817485,5.8968695573817485,5.8968695573817485,split,,2866
28,0.09581148656599305,True,False,31,5.863593798355932,5.8968695573817485,0.0,5.863593798355932,5.8968695573817485,5.863593798355932,paired,2866,3013
29,0.09581148656599305,True,False,30,5.863593796275019,5.8968695573817485,0.0,5.863593796275019,5.8968695573817485,5.863593796275019,merge,2837,
31,0.09581148656599305,True,False,31,5.863593797202871,5.8968695573817485,0.0,5.863593797202871,5.8968695573817485,5.863593797202871,split,,3014
32,0.09581148656599305,True,False,30,5.850753675157584,5.8968695573817485,0.0,5.850753675157584,5.8968695573817485,5.850753675157584,merge,2831,
33,0.09581148656599305,True,False,29,5.860361709059237,5.8968695573817485,0.0,5.860361709059237,5.8968695573817485,5.860361709059237,merge,1,
34,0.09581148656599305,True,False,28,5.860361709059244,5.8968695573817485,0.0,5.860361709059244,5.8968695573817485,5.860361709059244,merge,2984,
35,0.09581148656599305,True,False,27,5.860303630123553,5.8968695573817485,0.0,5.860303630123553,5.8968695573817485,5.860303630123553,merge,2788,
36,0.09581148656599305,True,False,28,5.86030255881931,5.8968695573817485,0.0,5.86030255881931,5.8968695573817485,5.86030255881931,split,,2895
37,0.09581148656599305,True,False,27,5.860302558819345,5.8968695573817485,0.0,5.860302558819345,5.8968695573817485,5.860302558819345,merge,2954,
38,0.09581148656599305,True,False,28,5.8603036728932665,5.8968695573817485,0.0,5.8603036728932665,5.8968695573817485,5.8603036728932665,split,,2813
39,0.09581148656599305,True,False,27,5.860893974737156,5.8968695573817485,0.0,5.860893974737156,5.8968695573817485,5.860893974737156,merge,2847,
40,0.09581148656599305,True,False,26,5.860893973710443,5.8968695573817485,0.0,5.860893973710443,5.8968695573817485,5.860893973710443,merge,3014,
41,0.09581148656599305,True,False,27,5.860893944303289,5.8968695573817485,0.0,5.860893944303289,5.8968695573817485,5.860893944303289,split,,2896
42,0.09581148656599305,True,False,28,5.8738320911043935,5.8968695573817485,0.0,5.8738320911043935,5.8968695573817485,5.8738320911043935,split,,2831
44,0.09581148656599305,True,False,27,5.873832120487258,5.8968695573817485,0.0,5.873832120487258,5.8968695573817485,5.873832120487258,merge,2896,
45,0.09581148656599305,True,False,27,5.873468901631679,5.8968695573817485,0.0,5.873468901631679,5.8968695573817485,5.873468901631679,paired,2895,3132
46,0.09581148656599305,True,False,28,5.873525399279629,5.8968695573817485,0.0,5.873525399279629,5.8968695573817485,5.873525399279629,split,,2788
47,0.09581148656599305,True,False,27,5.873468901631679,5.8968695573817485,0.0,5.873468901631679,5.8968695573817485,5.873468901631679,merge,2788,
48,0.09581148656599305,True,False,28,5.873467832907842,5.8968695573817485,0.0,5.873467832907842,5.8968695573817485,5.873467832907842,split,,2895
49,0.09581148656599305,True,False,29,5.873467833896811,5.8968695573817485,0.0,5.873467833896811,5.8968695573817485,5.873467833896811,split,,3014
50,0.09581148656599305,True,False,28,5.873467832907842,5.8968695573817485,0.0,5.873467832907842,5.8968695573817485,5.873467832907842,merge,3014,
51,0.09581148656599305,True,False,29,5.873467728852738,5.8968695573817485,0.0,5.873467728852738,5.8968695573817485,5.873467728852738,split,,3366
53,0.09581148656599305,True,False,30,5.873467719174766,5.8968695573817485,0.0,5.873467719174766,5.8968695573817485,5.873467719174766,split,,3486
54,0.09581148656599305,True,False,29,5.873467728852738,5.8968695573817485,0.0,5.873467728852738,5.8968695573817485,5.873467728852738,merge,3486,
