basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,basis_training_sites,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr,n_score_rows,n_basis_splits,actual_regions,actual_regions_min,actual_regions_max,candidate
bucketbasisfunction,fixed_outer,legacy,bucketbasisfunction,legacy,row_column,fixed_outer,none,,250,"TAC,MHD",0.1960581550211944,4.621752342803923e-09,2.0748378088350412e-09,0.9216108796293759,12,6,255.83333333333334,255,257,fixed_outer/weighted/bucket
quadtreebasisfunction,fixed_outer,legacy,quadtreebasisfunction,legacy,row_column,fixed_outer,none,,250,"TAC,MHD",0.2001440388860584,4.9688495327648595e-09,1.9504779210684286e-09,0.9214477259678376,12,6,255.0,253,256,fixed_outer/quadtree
region_constrained,land_sea,weight,inertial,count,row_column,full_domain,none,,250,"TAC,MHD",0.1039591804636808,2.1473030309886312e-09,4.1501252047640403e-10,0.9817300972761158,12,6,250.0,250,250,weight/inertial/count/row_column
region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.10809869549436381,3.2507135139262462e-09,-6.270277097593633e-10,0.9716415161129096,12,6,250.0,250,250,weight/inertial/balanced/lat_lon_metres
region_constrained,land_sea,weight,inertial,count,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.11064033778201127,2.64648134143129e-09,3.5661238679850654e-10,0.9818924363762407,12,6,250.0,250,250,weight/inertial/count/lat_lon_metres
region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,"TAC,MHD",0.11224394999496647,3.5082541543660175e-09,-8.166808471551617e-10,0.970177425528993,12,6,250.0,250,250,weight/inertial/balanced/row_column
region_constrained,land_sea,weight,axis_parallel,count,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.11341739832445157,2.0543847353223273e-09,4.552384935979907e-10,0.9728616777096807,12,6,250.0,250,250,weight/axis_parallel/count/lat_lon_metres
region_constrained,land_sea,weight,axis_parallel,count,row_column,full_domain,none,,250,"TAC,MHD",0.11432586312835308,2.1614591576649383e-09,6.693496538512815e-10,0.9757247801323059,12,6,250.0,250,250,weight/axis_parallel/count/row_column
region_constrained,land_sea,weight,axis_parallel,count,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",0.1506333326998002,3.6856880187916858e-09,-1.2898930532681256e-09,0.9429945420820184,12,6,236.83333333333334,235,239,weight/axis_parallel/count/lat_lon_metres/contrast
bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,"TAC,MHD",0.15148819921601595,3.4869422374558815e-09,1.3768735882568818e-09,0.9731800828447043,12,6,249.83333333333334,249,251,weighted/bucket
