site,inlet,month,basis_training_sites,basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr,n_splits,actual_regions,actual_regions_min,actual_regions_max,candidate
MHD,10m,January,"TAC,MHD",quadtreebasisfunction,fixed_outer,legacy,quadtreebasisfunction,legacy,row_column,fixed_outer,none,,250,0.19026426044462927,1.3058073716062395e-09,7.247897079514597e-10,0.9410983914250114,3,255.0,253,256,fixed_outer/quadtree
MHD,10m,January,"TAC,MHD",bucketbasisfunction,fixed_outer,legacy,bucketbasisfunction,legacy,row_column,fixed_outer,none,,250,0.19653312796072497,1.348278181674481e-09,8.399836186117288e-10,0.9438199686164389,3,255.66666666666666,255,256,fixed_outer/weighted/bucket
MHD,10m,January,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.15656277812458172,9.79531800055683e-10,5.014714398436161e-10,0.9563657075736307,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
MHD,10m,January,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,0.16358035467322765,1.0842450930887949e-09,-1.177612138662264e-10,0.9446798388499721,3,250.0,250,250,weight/inertial/balanced/row_column
MHD,10m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.21759653092792366,1.5212158326892308e-09,-5.954518419516033e-10,0.9088034905614547,3,250.0,250,250,weight/axis_parallel/balanced/row_column/contrast
MHD,10m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.2194118241903521,1.5252579429508414e-09,-5.910743218085217e-10,0.9089251561194028,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
MHD,10m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.21968321153614467,1.5094608609310828e-09,-4.927060745333019e-10,0.9156822251841854,3,250.0,250,250,weight/axis_parallel/balanced/row_column
MHD,10m,January,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.22114687223178467,1.5166791764126925e-09,-4.90132482518106e-10,0.9132138920708132,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
MHD,10m,January,"TAC,MHD",bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,0.24177501136520826,2.0484308695850346e-09,1.635774278421508e-09,0.970379928315635,3,250.0,249,251,weighted/bucket
MHD,10m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.1867698632607552,1.0630607863813097e-09,-1.7628847084094645e-10,0.9128810150089013,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres
MHD,10m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.20166889010645614,1.1248290524454237e-09,-2.3038309917460482e-10,0.8964675168804082,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres/contrast
MHD,10m,January,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,row_column,full_domain,none,,250,0.20929532811752058,1.1776113524003204e-09,7.67493089939407e-11,0.9099335560305774,3,250.0,250,250,single_class/inertial/balanced/row_column
MHD,10m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,0.21618212579535925,1.3957500723928885e-09,-4.2005254727332624e-10,0.895490896495679,3,250.0,250,250,single_class/axis_parallel/balanced/row_column
MHD,10m,January,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.21729968981868808,1.3549916567368792e-09,-8.428391158212279e-11,0.9042170037397148,3,250.0,250,250,single_class/inertial/balanced/lat_lon_metres
MHD,10m,January,"TAC,MHD",quadtreebasisfunction,no_mask,legacy,quadtreebasisfunction,legacy,row_column,full_domain,none,,250,0.22808560553752363,2.109172003535633e-09,1.6460340150722569e-09,0.9670383261576934,3,251.0,250,253,quadtree
MHD,10m,January,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.2321888071473149,1.4651505722428917e-09,-4.677105868068091e-10,0.878250548057632,3,250.0,250,250,single_class/axis_parallel/balanced/row_column/contrast
MHD,10m,January,"TAC,MHD",region_constrained,selected_countries,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.17648546152980468,1.131522431676544e-09,8.927444816197013e-10,0.9685543086030539,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
MHD,10m,January,"TAC,MHD",region_constrained,selected_countries,weight,inertial,balanced,row_column,full_domain,none,,250,0.18734896578989457,9.992955379070652e-10,3.5747897441211304e-10,0.9480373040276001,3,250.0,250,250,weight/inertial/balanced/row_column
MHD,10m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.1878735848623343,1.04781285700875e-09,4.330153957708363e-10,0.9446545529410665,3,236.0,230,239,weight/axis_parallel/balanced/lat_lon_metres/contrast
MHD,10m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.18961493523193276,1.1402437367143163e-09,5.096340991578105e-10,0.9484371728162428,3,240.0,236,248,weight/axis_parallel/balanced/row_column/contrast
MHD,10m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.19434726709836525,1.065296808108855e-09,2.367138496825616e-10,0.9365786768334239,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
MHD,10m,January,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.19646875011717832,1.216199718929166e-09,6.243691726096528e-10,0.9498885998844919,3,250.0,250,250,weight/axis_parallel/balanced/row_column
MHD,10m,July,"TAC,MHD",quadtreebasisfunction,fixed_outer,legacy,quadtreebasisfunction,legacy,row_column,fixed_outer,none,,250,0.4472526277892525,9.129479006141792e-09,6.8481675753539196e-09,0.7713035332924596,3,255.0,253,256,fixed_outer/quadtree
MHD,10m,July,"TAC,MHD",bucketbasisfunction,fixed_outer,legacy,bucketbasisfunction,legacy,row_column,fixed_outer,none,,250,0.4488921287186994,9.17498412932042e-09,6.801693880378741e-09,0.7626509451133817,3,256.0,255,257,fixed_outer/weighted/bucket
MHD,10m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.11000580961079544,2.3548888476871103e-09,-1.2242693726074812e-09,0.9849275490963015,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
MHD,10m,July,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,0.11436695762507136,2.345718107350257e-09,1.0729199194574486e-09,0.9742470776499251,3,250.0,250,250,weight/inertial/balanced/row_column
MHD,10m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.11521625930308632,2.4514263659236563e-09,-1.3828472414285334e-09,0.9837508828761025,3,250.0,250,250,weight/axis_parallel/balanced/row_column
MHD,10m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.1160105613648333,2.454738316682488e-09,-1.5504708015404454e-09,0.9855007577528591,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
MHD,10m,July,"TAC,MHD",region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.11901622687641078,2.3821348478009683e-09,9.259659696567864e-10,0.9623154638310942,3,250.0,250,250,weight/inertial/balanced/lat_lon_metres
MHD,10m,July,"TAC,MHD",region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.124886008717969,2.6319674366795747e-09,-1.689991632359292e-09,0.9824393747869905,3,250.0,250,250,weight/axis_parallel/balanced/row_column/contrast
MHD,10m,July,"TAC,MHD",bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,0.2514312730916844,5.235678589577721e-09,4.110887216325237e-09,0.943115970011538,3,249.66666666666666,249,250,weighted/bucket
MHD,10m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.12312261327538902,2.5400846901388776e-09,4.831131544740298e-11,0.9615935519836158,3,250.0,250,250,single_class/axis_parallel/balanced/row_column/contrast
MHD,10m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.12658152896454156,2.617009402781646e-09,1.337455713009703e-10,0.9611306938448642,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres/contrast
MHD,10m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,0.13295552891695395,2.7671129456184517e-09,4.6278668618350937e-10,0.959457339512119,3,250.0,250,250,single_class/axis_parallel/balanced/row_column
MHD,10m,July,"TAC,MHD",region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.13583456114219436,2.833693841774743e-09,4.702866270450752e-10,0.958311852421971,3,250.0,250,250,single_class/axis_parallel/balanced/lat_lon_metres
MHD,10m,July,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,row_column,full_domain,none,,250,0.14478710646541879,3.0285680739198897e-09,1.8360603236667483e-09,0.9670316430436916,3,250.0,250,250,single_class/inertial/balanced/row_column
MHD,10m,July,"TAC,MHD",region_constrained,no_mask,single_class,inertial,balanced,lat_lon_metres,full_domain,none,,250,0.2035677346195682,4.090709607358428e-09,2.703825432534277e-09,0.9174149261083696,3,250.0,250,250,single_class/inertial/balanced/lat_lon_metres
MHD,10m,July,"TAC,MHD",quadtreebasisfunction,no_mask,legacy,quadtreebasisfunction,legacy,row_column,full_domain,none,,250,0.30983491216869274,6.52264469749252e-09,5.240295343051591e-09,0.9306341531674733,3,250.0,250,250,quadtree
MHD,10m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,0.080754650207547,1.6542452886562594e-09,-3.061417031439444e-10,0.9862742823756436,3,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
MHD,10m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,0.0855845243252155,1.7567120949573435e-09,-5.69504258980134e-10,0.9854707257880918,3,238.0,214,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
MHD,10m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,0.0887259098829945,1.8197216562583512e-09,-4.051720939148752e-10,0.9830581516514864,3,250.0,250,250,weight/axis_parallel/balanced/row_column
MHD,10m,July,"TAC,MHD",region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,0.0933652403105003,1.9248582782664016e-09,-6.714990574819808e-10,0.983050357023723,3,244.0,232,250,weight/axis_parallel/balanced/row_column/contrast
