site,inlet,month,split_id,holdout_start,holdout_end,buffer_start,buffer_end,basis_training_sites,basis_train_observations,score_site_holdout_observations,basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,actual_regions,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,250,0.05942875752071962,4.042204231294658e-09,-2.803876906862393e-09,0.9974118088714347
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.0642317808474499,4.368894574897201e-09,-3.0620051799372566e-09,0.997108554976746
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,250,0.03523789805504889,2.3967988994282386e-09,-8.621476610422481e-10,0.9986523638914138
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.03617672700116592,2.460655834972164e-09,-1.151378774271974e-09,0.9987102326785993
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,inertial,balanced,row_column,full_domain,none,,250,250,0.033854958352169284,2.3027345953468967e-09,-1.2438374207256516e-09,0.9987561633225723
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,inertial,balanced,lat_lon_metres,full_domain,none,,250,250,0.03647983530273203,2.481272548331919e-09,-1.5833165059278283e-09,0.99878574188063
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,none,,250,250,0.17544978729636918,1.1933681641280654e-08,-1.0029939563184896e-08,0.9923778809705269
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.17449489731874904,1.1868732272170737e-08,-9.948678367695477e-09,0.9923219023335348
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,250,0.04027346753921306,2.7393064854024206e-09,-2.016802187946467e-09,0.9991485514202131
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.04117889053804491,2.800891227027106e-09,-2.0581071031496833e-09,0.9990981617131517
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,250,0.038946410206018536,2.649043168597601e-09,-1.850712223251627e-09,0.9988359185488007
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,250,0.025757172744247894,1.7519422750288311e-09,-1.04626981868331e-09,0.9993764562497393
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,250,0.09786008265294985,6.656212525336487e-09,-4.529213963143662e-09,0.993690716503502
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,248,0.09868408757385626,6.7122594009039975e-09,-4.642077038574989e-09,0.9938341868065816
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,250,0.10307108712785869,7.010652786525324e-09,-5.209551366295621e-09,0.9945472701759426
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,239,0.101277673755655,6.888669029435085e-09,-4.904906437742347e-09,0.9939941077445971
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,inertial,balanced,row_column,full_domain,none,,250,250,0.030854165015554217,2.0986276944365547e-09,-1.161005266489205e-09,0.9989972000135592
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,250,0.025627685138180225,1.7431348327907117e-09,-7.582422787237829e-10,0.9992409917583803
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,250,0.02043242741486084,1.3897656285877432e-09,-1.491648353127973e-11,0.9994088877747396
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,quadtreebasisfunction,no_mask,legacy,quadtreebasisfunction,legacy,row_column,full_domain,none,,250,253,0.07628010675556422,5.188393349523561e-09,-2.060977311933806e-09,0.9944460312699664
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,bucketbasisfunction,fixed_outer,legacy,bucketbasisfunction,legacy,row_column,fixed_outer,none,,250,256,0.02397704748346795,1.630862344006372e-09,1.8654769623989334e-10,0.9991400608822326
TAC,185m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,quadtreebasisfunction,fixed_outer,legacy,quadtreebasisfunction,legacy,row_column,fixed_outer,none,,250,256,0.05625157360154628,3.8260996580633195e-09,-4.4085585476330946e-10,0.9952743208684847
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,250,0.20809049788518635,2.4044258513951076e-09,-1.174015124809542e-09,0.9189676968602538
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.21280518392972456,2.4589026925863577e-09,-1.2384097898012438e-09,0.9174231058680611
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,250,0.12191695843770817,1.4087153885941884e-09,-3.994857243878562e-10,0.9686150266107605
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.12482098057169672,1.442270529088101e-09,-4.5975262307162057e-10,0.9684663026068221
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,inertial,balanced,row_column,full_domain,none,,250,250,0.1404552306965242,1.6229197925064306e-09,-4.8599367034923e-10,0.9560821805668277
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,no_mask,single_class,inertial,balanced,lat_lon_metres,full_domain,none,,250,250,0.19642751049078025,2.269663386599248e-09,-9.312436661201203e-10,0.9173490944971449
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,none,,250,250,0.24722609277167365,2.8566263940009264e-09,-1.6996051350180603e-09,0.9081218244257938
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.24966746724955433,2.8848357738967417e-09,-1.7159741097908529e-09,0.9065444579386778
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,250,0.24754211653501906,2.8602779576905965e-09,-1.6621529650674547e-09,0.902823955598369
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,250,0.24897900112520382,2.8768807458487452e-09,-1.7035199979607859e-09,0.9062664190278003
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,inertial,balanced,row_column,full_domain,none,,250,250,0.16374086368006363,1.8919785841414644e-09,-8.666754622968806e-10,0.9487287772520602
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,land_sea,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,250,0.14764685082055568,1.7060168945623604e-09,1.021325867770211e-09,0.9648523575876976
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,250,0.1890061135464076,2.183911279473435e-09,1.3497896166697385e-09,0.9637497390478239
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,248,0.16931930258760106,1.9564358412292524e-09,1.0259222611559293e-09,0.9610605220341053
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,250,0.1357518386646009,1.568573450382525e-09,7.239465033278849e-11,0.9537353467955523
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,239,0.1361834932819976,1.573561095332634e-09,7.016209336970858e-10,0.9667879991465118
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,inertial,balanced,row_column,full_domain,none,,250,250,0.1158434458078271,1.3385376970394394e-09,5.419568792091046e-11,0.9662742695984523
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,region_constrained,selected_countries,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,250,0.1885628089264444,2.178789022094482e-09,1.9700000046614626e-09,0.9862392465311538
MHD,10m,January,january_06_12,2019-01-06,2019-01-12,2019-01-04,2019-01-14,"TAC,MHD",960,168,bucketbasisfunction,land_sea,legacy,bucketbasisfunction,legacy,row_column,full_domain,none,,250,250,0.43265205975669324,4.999170109690963e-09,4.328726819086297e-09,0.9750467906241495
