matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,1,6.049668566500848e-08,1.0,0.5896370045829985,0.5896370045829985
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,2,2.9500215887957267e-08,0.48763358791769823,0.14020772906308113,0.7298447336460796
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,3,2.0092530002133496e-08,0.332126128584844,0.06504154030710675,0.7948862739531863
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,4,1.615446725669043e-08,0.26703061629100516,0.04204427300641384,0.8369305469596002
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,5,1.478318305083663e-08,0.24436351989092986,0.035209306875886276,0.8721398538354865
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,6,1.2398585373957723e-08,0.20494652289900758,0.024766568652011,0.8969064224874974
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,7,1.033818066348546e-08,0.17088838090621392,0.01721907435333891,0.9141254968408363
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,8,9.140849907929263e-09,0.15109670566988379,0.013461539270712279,0.9275870361115486
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,9,8.455081447516659e-09,0.1397610688019412,0.011517471801834364,0.939104507913383
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,10,7.569223122952564e-09,0.1251179802620267,0.009230477786043944,0.948334985699427
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,11,6.624876374869757e-09,0.10950808795632273,0.0070709395346487385,0.9554059252340756
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,12,5.78974976319933e-09,0.09570358606518083,0.005400589328532399,0.9608065145626081
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,13,5.702596655188226e-09,0.09426295990437424,0.005239222912046717,0.9660457374746548
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,14,5.14902961070766e-09,0.08511259012137716,0.004271420673992004,0.9703171581486469
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,15,4.825274122788474e-09,0.07976096656778392,0.0037511596462952083,0.9740683177949421
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,16,4.119416117042922e-09,0.06809325290733421,0.0027339646463700185,0.9768022824413121
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,17,3.810142554189771e-09,0.06298101313000644,0.0023388588682499625,0.9791411413095621
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,18,3.6908765949085608e-09,0.06100956695952318,0.0021947275540903336,0.9813358688636523
