matrix,split_step,classes,geometry,target_regions,state_count,observation_count,leading_singular_value,frobenius_norm,stable_rank,effective_rank,rank_90_energy,rank_95_energy,rank_99_energy,condition_number_thresholded
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,6.049668566500848e-08,7.878421583099095e-08,1.695958686831769,5.192848832586216,7,11,25,33539.145253663795
basis-projected,axis-parallel,all-cells,row-column,50,50,168,9.703105019011412e-08,1.3800456243924616e-07,2.0228581293081604,5.779550626626016,6,10,18,3906726139.5039067
basis-projected,axis-parallel,all-cells,row-column,100,100,168,6.949897909187357e-08,1.0207898801414821e-07,2.157326417846291,7.42666986673449,9,14,26,2402989073.2348623
basis-projected,axis-parallel,all-cells,row-column,250,250,168,6.17208460760177e-08,8.398496958228732e-08,1.8515668511178276,6.470329045924983,8,14,29,344283.1642474281
basis-projected,axis-parallel,all-cells,row-column,500,500,168,6.074059955598324e-08,7.983065570896868e-08,1.7273535787539542,5.522405946866945,7,12,28,47211.844762236076
basis-projected,axis-parallel,all-cells,lat-lon-metres,50,50,168,9.703057845525952e-08,1.3800359374920543e-07,2.022849400353805,5.77954543347459,6,10,18,5629047949.842801
basis-projected,axis-parallel,all-cells,lat-lon-metres,100,100,168,6.949855815422203e-08,1.0207767840052276e-07,2.1572971960551532,7.426668755506516,9,14,26,2105808848.6670666
basis-projected,axis-parallel,all-cells,lat-lon-metres,250,250,168,6.171807991206653e-08,8.396232156986914e-08,1.8507342573936534,6.466480311314885,8,14,29,342698.656225456
basis-projected,axis-parallel,all-cells,lat-lon-metres,500,500,168,6.073929840071615e-08,7.982623231831704e-08,1.7272361590734633,5.52128496140409,7,12,28,47192.829106898156
basis-projected,axis-parallel,ocean-land,row-column,50,50,168,1.6298093399181369e-07,2.0347223133615707e-07,1.5586072456913684,3.3933606332718433,3,5,9,5021778848.189501
basis-projected,axis-parallel,ocean-land,row-column,100,100,168,1.0055539830998627e-07,1.423762153069031e-07,2.004767933536054,5.909580771645285,6,9,17,5764104778.30449
basis-projected,axis-parallel,ocean-land,row-column,250,250,168,6.786115713099062e-08,9.982450123844315e-08,2.1638730424331345,7.482331863753549,9,14,26,5631708.006637356
basis-projected,axis-parallel,ocean-land,row-column,500,500,168,6.211095656728744e-08,8.44525970354276e-08,1.8487985117280512,6.44475326195457,8,14,29,94140.15545840721
