array_index,case_id,sample_count,slurm_state,artifact_published,marker_published,fit_development_pass,scientific_model_gates_pass
0,near_gaussian__two_cell__root,4096,COMPLETED,true,true,true,true
1,near_gaussian__two_cell__root,16384,COMPLETED,true,true,true,true
2,near_gaussian__two_cell__root,65536,COMPLETED,true,true,true,true
3,near_gaussian__two_cell__root,262144,COMPLETED,true,true,true,true
4,near_gaussian__four_cell__root,4096,COMPLETED,true,true,true,true
5,near_gaussian__four_cell__root,16384,COMPLETED,true,true,true,true
6,near_gaussian__four_cell__root,65536,COMPLETED,true,true,true,true
7,near_gaussian__four_cell__root,262144,COMPLETED,true,true,true,true
8,skewed__two_cell__root,4096,FAILED,false,false,,
9,skewed__two_cell__root,16384,FAILED,false,false,,
10,skewed__two_cell__root,65536,FAILED,false,false,,
11,skewed__two_cell__root,262144,FAILED,false,false,,
12,skewed__four_cell__root,4096,COMPLETED,true,true,true,true
13,skewed__four_cell__root,16384,COMPLETED,true,true,true,true
14,skewed__four_cell__root,65536,COMPLETED,true,true,true,true
15,skewed__four_cell__root,262144,COMPLETED,true,true,true,true
16,boundary_heavy__two_cell__root,4096,COMPLETED,true,true,true,false
17,boundary_heavy__two_cell__root,16384,COMPLETED,true,true,true,false
18,boundary_heavy__two_cell__root,65536,COMPLETED,true,true,true,false
19,boundary_heavy__two_cell__root,262144,COMPLETED,true,true,true,false
20,boundary_heavy__four_cell__root,4096,COMPLETED,true,true,true,false
21,boundary_heavy__four_cell__root,16384,COMPLETED,true,true,true,false
22,boundary_heavy__four_cell__root,65536,COMPLETED,true,true,true,false
23,boundary_heavy__four_cell__root,262144,COMPLETED,true,true,true,false
