phase,array_submission_id,array_task_id,job_id,case,order,seed,node,state,exit_code,elapsed
g0-cross-node,,0,18189081,near_gaussian__two_cell__root,8,731,bp1-compute071,COMPLETED,0:0,00:00:20
g1,18189082,0,18189083,near_gaussian__two_cell__root,24,731,bp1-compute103,COMPLETED,0:0,00:00:25
g1,18189082,1,18189084,near_gaussian__two_cell__root,32,731,bp1-compute128,COMPLETED,0:0,00:00:25
g1,18189082,2,18189085,near_gaussian__two_cell__root,40,731,bp1-compute126,COMPLETED,0:0,00:00:43
g1,18189082,3,18189086,near_gaussian__two_cell__root,48,731,bp1-compute126,COMPLETED,0:0,00:00:43
g1,18189082,4,18189087,near_gaussian__four_cell__root,24,731,bp1-compute126,COMPLETED,0:0,00:00:43
g1,18189082,5,18189088,near_gaussian__four_cell__root,32,731,bp1-compute122,COMPLETED,0:0,00:00:25
g1,18189082,6,18189089,near_gaussian__four_cell__root,40,731,bp1-compute123,COMPLETED,0:0,00:00:41
g1,18189082,7,18189090,near_gaussian__four_cell__root,48,731,bp1-compute123,COMPLETED,0:0,00:00:41
g1,18189082,8,18189091,skewed__two_cell__root,24,731,bp1-compute184,COMPLETED,0:0,00:00:24
g1,18189082,9,18189092,skewed__two_cell__root,32,731,bp1-compute153,COMPLETED,0:0,00:00:24
g1,18189082,10,18189093,skewed__two_cell__root,40,731,bp1-compute153,COMPLETED,0:0,00:00:24
g1,18189082,11,18189094,skewed__two_cell__root,48,731,bp1-compute160,COMPLETED,0:0,00:00:25
g1,18189082,12,18189095,skewed__four_cell__root,24,731,bp1-compute160,COMPLETED,0:0,00:00:25
g1,18189082,13,18189096,skewed__four_cell__root,32,731,bp1-compute160,COMPLETED,0:0,00:00:25
g1,18189082,14,18189097,skewed__four_cell__root,40,731,bp1-compute160,COMPLETED,0:0,00:00:26
g1,18189082,15,18189098,skewed__four_cell__root,48,731,bp1-compute160,COMPLETED,0:0,00:00:26
g1,18189082,16,18189099,boundary_heavy__two_cell__root,24,731,bp1-compute137,COMPLETED,0:0,00:00:25
g1,18189082,17,18189100,boundary_heavy__two_cell__root,32,731,bp1-compute137,COMPLETED,0:0,00:00:25
g1,18189082,18,18189101,boundary_heavy__two_cell__root,40,731,bp1-compute182,COMPLETED,0:0,00:00:25
g1,18189082,19,18189102,boundary_heavy__two_cell__root,48,731,bp1-compute182,COMPLETED,0:0,00:00:25
g1,18189082,20,18189103,boundary_heavy__four_cell__root,24,731,bp1-compute182,COMPLETED,0:0,00:00:25
g1,18189082,21,18189104,boundary_heavy__four_cell__root,32,731,bp1-compute182,COMPLETED,0:0,00:00:26
g1,18189082,22,18189105,boundary_heavy__four_cell__root,40,731,bp1-compute182,COMPLETED,0:0,00:00:26
g1,18189082,23,18189082,boundary_heavy__four_cell__root,48,731,bp1-compute182,COMPLETED,0:0,00:00:27
g1-merge,,,18189110,complete_matrix,,,bp1-compute051,COMPLETED,0:0,00:00:27
g2,18189113,0,18189114,near_gaussian__two_cell__root,24,1877,bp1-compute051,COMPLETED,0:0,00:00:07
g2,18189113,1,18189115,near_gaussian__two_cell__root,24,4099,bp1-compute103,COMPLETED,0:0,00:00:08
g2,18189113,2,18189116,near_gaussian__two_cell__root,24,8317,bp1-compute128,COMPLETED,0:0,00:00:05
g2,18189113,3,18189117,near_gaussian__four_cell__root,24,1877,bp1-compute126,COMPLETED,0:0,00:00:15
g2,18189113,4,18189118,near_gaussian__four_cell__root,24,4099,bp1-compute126,COMPLETED,0:0,00:00:15
g2,18189113,5,18189119,near_gaussian__four_cell__root,24,8317,bp1-compute126,COMPLETED,0:0,00:00:15
g2,18189113,6,18189120,skewed__two_cell__root,24,1877,bp1-compute122,COMPLETED,0:0,00:00:06
g2,18189113,7,18189121,skewed__two_cell__root,24,4099,bp1-compute123,COMPLETED,0:0,00:00:08
g2,18189113,8,18189122,skewed__two_cell__root,24,8317,bp1-compute123,COMPLETED,0:0,00:00:08
g2,18189113,9,18189123,skewed__four_cell__root,24,1877,bp1-compute184,COMPLETED,0:0,00:00:07
g2,18189113,10,18189124,skewed__four_cell__root,24,4099,bp1-compute153,COMPLETED,0:0,00:00:06
g2,18189113,11,18189125,skewed__four_cell__root,24,8317,bp1-compute153,COMPLETED,0:0,00:00:06
g2,18189113,12,18189126,boundary_heavy__two_cell__root,24,1877,bp1-compute160,COMPLETED,0:0,00:00:10
g2,18189113,13,18189127,boundary_heavy__two_cell__root,24,4099,bp1-compute137,COMPLETED,0:0,00:00:08
g2,18189113,14,18189128,boundary_heavy__two_cell__root,24,8317,bp1-compute137,COMPLETED,0:0,00:00:08
g2,18189113,15,18189129,boundary_heavy__four_cell__root,24,1877,bp1-compute140,COMPLETED,0:0,00:00:46
g2,18189113,16,18189130,boundary_heavy__four_cell__root,24,4099,bp1-compute140,COMPLETED,0:0,00:00:46
g2,18189113,17,18189113,boundary_heavy__four_cell__root,24,8317,bp1-compute140,COMPLETED,0:0,00:00:46
g2-certify,,,18189135,complete_matrix,,,bp1-compute051,COMPLETED,0:0,00:00:04
