stage,array_job_id,array_task_id,raw_job_id,case_id,training_sample_count,state,exit_code,elapsed,max_rss_kib,node
G0_cross_node_replay,,,18188702,near_gaussian__two_cell__root,4096,COMPLETED,0:0,00:00:58,479856,bp1-compute051
G1,18188705,0,18188706,near_gaussian__two_cell__root,4096,COMPLETED,0:0,00:07:32,580724,bp1-compute051
G1,18188705,1,18188707,near_gaussian__two_cell__root,16384,COMPLETED,0:0,00:05:30,714420,bp1-compute086
G1,18188705,2,18188708,near_gaussian__two_cell__root,65536,COMPLETED,0:0,00:09:40,642324,bp1-compute092
G1,18188705,3,18188709,near_gaussian__two_cell__root,262144,COMPLETED,0:0,00:21:42,645672,bp1-compute092
G1,18188705,4,18188710,near_gaussian__four_cell__root,4096,COMPLETED,0:0,00:13:00,1132720,bp1-compute128
G1,18188705,5,18188711,near_gaussian__four_cell__root,16384,COMPLETED,0:0,00:16:56,1107532,bp1-compute057
G1,18188705,6,18188712,near_gaussian__four_cell__root,65536,COMPLETED,0:0,00:33:39,1055916,bp1-compute056
G1,18188705,7,18188713,near_gaussian__four_cell__root,262144,COMPLETED,0:0,01:09:32,1070160,bp1-compute056
G1,18188705,8,18188714,skewed__two_cell__root,4096,COMPLETED,0:0,00:12:28,716224,bp1-compute063
G1,18188705,9,18188715,skewed__two_cell__root,16384,COMPLETED,0:0,00:15:37,616020,bp1-compute070
G1,18188705,10,18188716,skewed__two_cell__root,65536,COMPLETED,0:0,00:32:06,643824,bp1-compute070
G1,18188705,11,18188717,skewed__two_cell__root,262144,COMPLETED,0:0,01:10:15,652248,bp1-compute070
G1,18188705,12,18188718,skewed__four_cell__root,4096,COMPLETED,0:0,00:06:56,996592,bp1-compute090
G1,18188705,13,18188719,skewed__four_cell__root,16384,COMPLETED,0:0,00:06:53,1034840,bp1-compute090
G1,18188705,14,18188720,skewed__four_cell__root,65536,COMPLETED,0:0,00:13:38,989988,bp1-compute090
G1,18188705,15,18188721,skewed__four_cell__root,262144,COMPLETED,0:0,00:39:55,994396,bp1-compute090
G1,18188705,16,18188722,boundary_heavy__two_cell__root,4096,COMPLETED,0:0,00:03:26,648620,bp1-compute084
G1,18188705,17,18188723,boundary_heavy__two_cell__root,16384,COMPLETED,0:0,00:03:26,640128,bp1-compute084
G1,18188705,18,18188724,boundary_heavy__two_cell__root,65536,COMPLETED,0:0,00:05:54,636604,bp1-compute083
G1,18188705,19,18188725,boundary_heavy__two_cell__root,262144,COMPLETED,0:0,00:16:15,619544,bp1-compute083
G1,18188705,20,18188726,boundary_heavy__four_cell__root,4096,COMPLETED,0:0,00:08:09,994488,bp1-compute083
G1,18188705,21,18188727,boundary_heavy__four_cell__root,16384,COMPLETED,0:0,00:08:37,1049956,bp1-compute100
G1,18188705,22,18188728,boundary_heavy__four_cell__root,65536,COMPLETED,0:0,00:15:36,1024852,bp1-compute100
G1,18188705,23,18188705,boundary_heavy__four_cell__root,262144,COMPLETED,0:0,00:36:08,1103348,bp1-compute101
G1_merge,,,18189004,,,COMPLETED,0:0,00:00:39,341872,bp1-compute070
